bond_code,bond_name,maturity_date,coupon_rate,frequency,coupon_type,issuer,credit_rating,industry,interest_type,is_perpetual,is_option_embedded,is_seo,pre_repay_principal_date,pre_repay_principal_ratio,pre_repay_principal_method
127040.SZ,国泰转债,2027-07-07,0.02,1.0,附息,江苏国泰,AA+,可转债,累进利率,否,是,否,,,
127041.SZ,弘亚转债,2026-07-12,0.025,1.0,附息,弘亚数控,AA-,可转债,累进利率,否,是,否,,,
127049.SZ,希望转2,2027-11-02,0.016,1.0,附息,新希望,AAA,可转债,累进利率,否,是,否,,,
127064.SZ,杭氧转债,2028-05-19,0.018,1.0,附息,杭氧股份,AA+,可转债,累进利率,否,是,否,,,
127066.SZ,科利转债,2028-07-08,0.018,1.0,附息,科达利,AA,可转债,累进利率,否,是,否,,,
127067.SZ,恒逸转2,2028-07-21,0.018,1.0,附息,恒逸石化,AA+,可转债,累进利率,否,是,否,,,
127068.SZ,顺博转债,2028-08-12,0.02,1.0,附息,顺博合金,AA-,可转债,累进利率,否,是,否,,,
127069.SZ,小熊转债,2028-08-12,0.025,1.0,附息,小熊电器,AA-,可转债,累进利率,否,是,否,,,
127072.SZ,博实转债,2028-09-22,0.015,1.0,附息,博实股份,AA,可转债,累进利率,否,是,否,,,
127079.SZ,华亚转债,2028-12-16,0.018,1.0,附息,华亚智能,A+,可转债,累进利率,否,是,否,,,
127082.SZ,亚科转债,2029-03-09,0.015,1.0,附息,亚太科技,AA,可转债,累进利率,否,是,否,,,
127083.SZ,山路转债,2029-03-24,0.015,1.0,附息,山东路桥,AAA,可转债,累进利率,否,是,否,,,
127089.SZ,晶澳转债,2029-07-18,0.015,1.0,附息,晶澳科技,AA+,可转债,累进利率,否,是,否,,,
127095.SZ,广泰转债,2029-10-18,0.008,1.0,附息,威海广泰,AA-,可转债,累进利率,否,是,否,,,
127108.SZ,太能转债,2031-03-28,0.004,1.0,附息,太阳能,AA+,可转债,累进利率,否,是,否,,,
127112.SZ,尚太转债,2032-01-16,0.002,1.0,附息,尚太科技,AA+,可转债,累进利率,否,是,否,,,
128101.SZ,联创转债,2026-03-16,0.02,1.0,附息,联创电子,AA-,可转债,累进利率,否,是,否,,,
128108.SZ,蓝帆转债,2026-05-28,0.02,1.0,附息,蓝帆医疗,AA-,可转债,累进利率,否,是,否,,,
128136.SZ,立讯转债,2026-11-03,0.02,1.0,附息,立讯精密,AA+,可转债,累进利率,否,是,否,,,
128137.SZ,洁美转债,2026-11-04,0.02,1.0,附息,洁美科技,AA-,可转债,累进利率,否,是,否,,,
128141.SZ,旺能转债,2026-12-17,0.02,1.0,附息,旺能环境,AA,可转债,累进利率,否,是,否,,,
128142.SZ,新乳转债,2026-12-18,0.02,1.0,附息,新希望乳业,AA,可转债,累进利率,否,是,否,,,
137203.SH,26杭钢EB,2029-04-02,0.0001,1.0,附息,杭钢集团,,可交换债券,固定利率,否,是,否,,,
